Blue Zone,Food,Proportion
Okinawa,Sweet potatoes,0.67
Okinawa,Vegetables,0.09
Okinawa,Rice,0.12
Okinawa,Legumes,0.06
Okinawa,Other grains,0.03
Okinawa,"Fish, Meat, Poultry",0.02
Okinawa,Other foods,0.01
Nicoya,Whole Grains,0.26
Nicoya,Dairy,0.24
Nicoya,Vegetables,0.14
Nicoya,Added Sugars,0.11
Nicoya,Fruits,0.09
Nicoya,Legumes,0.07
Nicoya,"Meat, Fish, Poultry",0.05
Nicoya,Added Fats,0.02
Nicoya,Eggs,0.02
Sardinia,Whole grains,0.47
Sardinia,Dairy,0.26
Sardinia,Vegetables,0.12
Sardinia,"Meat, Fish, Poultry",0.05
Sardinia,Legumes,0.04
Sardinia,Added sugar,0.03
Sardinia,Added fats,0.02
Sardinia,Fruits,0.01
Loma Linda,Vegetables,0.33
Loma Linda,Fruits,0.27
Loma Linda,Legumes and Soy,0.12
Loma Linda,Dairy,0.1
Loma Linda,Whole grains,0.07
Loma Linda,Meat and Poultry,0.04
Loma Linda,Nuts and Seeds,0.02
Loma Linda,Added Fats,0.02
Loma Linda,Added Sugar,0.01
Loma Linda,Fish,0.01
Loma Linda,Eggs,0.01
Ikaria,Vegetables,0.2
Ikaria,Greens,0.17
Ikaria,Fruits,0.16
Ikaria,Legumes,0.11
Ikaria,Potatoes,0.09
Ikaria,Olive Oil,0.06
Ikaria,Fish,0.06
Ikaria,Pasta,0.05
Ikaria,Meat,0.05
Ikaria,Sweets,0.04
Ikaria,Grains,0.01