Food,Category
Nuts and products,Added Fats
Groundnuts,Added Fats
Sunflower seed,Added Fats
Rape and Mustardseed,Added Fats
Coconuts - Incl Copra,Added Fats
"Oilcrops, Other",Added Fats
Soyabean Oil,Added Fats
Groundnut Oil,Added Fats
Sunflowerseed Oil,Added Fats
Cottonseed Oil,Added Fats
Palm Oil,Added Fats
Coconut Oil,Added Fats
Sesameseed Oil,Added Fats
Olive Oil,Added Fats
Maize Germ Oil,Added Fats
"Oilcrops Oil, Other",Added Fats
"Fats, Animals, Raw",Added Fats
"Fish, body oil",Added Fats
Sesame seed,Added Fats
Sugar non-centrifugal,Added Sugar
Sugar (Raw Equivalent),Added Sugar
"Sweeteners, Other",Added Sugar
Honey,Added Sugar
Sweets,Added Sugar
"Butter, Ghee",Dairy
Eggs,Dairy
Milk - Excluding Butter,Dairy
Cassava and products,Fruits and Vegetables
Potatoes and products,Fruits and Vegetables
Sweet potatoes,Fruits and Vegetables
Yams,Fruits and Vegetables
"Roots, Other",Fruits and Vegetables
Tomatoes and products,Fruits and Vegetables
Onions,Fruits and Vegetables
"Vegetables, other",Fruits and Vegetables
Sugar cane,Fruits and Vegetables
"Oranges, Mandarines",Fruits and Vegetables
"Lemons, Limes and products",Fruits and Vegetables
Grapefruit and products,Fruits and Vegetables
"Citrus, Other",Fruits and Vegetables
Bananas,Fruits and Vegetables
Plantains,Fruits and Vegetables
Apples and products,Fruits and Vegetables
Pineapples and products,Fruits and Vegetables
Dates,Fruits and Vegetables
Grapes and products (excl wine),Fruits and Vegetables
"Fruits, other",Fruits and Vegetables
Olives (including preserved),Fruits and Vegetables
Wheat and products,Grains
Rice and products,Grains
Barley and products,Grains
Maize and products,Grains
Oats,Grains
"Cereals, Other",Grains
Millet and products,Grains
Rye and products,Grains
Sorghum and products,Grains
Beans,Legumes
Peas,Legumes
"Pulses, Other and products",Legumes
Soyabeans,Legumes
Bovine Meat,"Meat, Fish, Poultry"
Mutton & Goat Meat,"Meat, Fish, Poultry"
Pigmeat,"Meat, Fish, Poultry"
Poultry Meat,"Meat, Fish, Poultry"
"Meat, Other","Meat, Fish, Poultry"
"Offals, Edible","Meat, Fish, Poultry"
Freshwater Fish,"Meat, Fish, Poultry"
Demersal Fish,"Meat, Fish, Poultry"
Pelagic Fish,"Meat, Fish, Poultry"
"Marine Fish, Other","Meat, Fish, Poultry"
Crustaceans,"Meat, Fish, Poultry"
Cephalopods,"Meat, Fish, Poultry"
"Molluscs, Other","Meat, Fish, Poultry"
"Aquatic Animals, Others","Meat, Fish, Poultry"
Wine,Other
Beer,Other
"Beverages, Fermented",Other
"Beverages, Alcoholic",Other
Coffee and products,Other
Cocoa Beans and products,Other
Tea (including mate),Other
Pepper,Other
Pimento,Other
Cloves,Other
"Spices, Other",Other
Infant food,Other
Miscellaneous,Other